序号,招聘信息id,公司地址,招聘岗位,公司类型,最低薪资,最高薪资,员工数量,学历,岗位经验,企业名称,企业类型
488,1482196087983964165,广州,数据产品经理/高级经理,50-100人,15000,25000,合资,3,5,大参林集团,"[""互联网""]"
489,1482196087983964164,广州,数据中台产品经理,50-100人,10000,20000,合资,3,5,大金,"[""互联网""]"
490,1482196087983964163,广州天河区,数据分析师,50-100人,10000,25000,合资,3,0,上海华钦信息科技股份有限公司,"[""互联网""]"
491,1482196087983964162,广州,ETL开发工程师,50-100人,10000,20000,合资,3,1,上海华钦信息科技股份有限公司,"[""互联网""]"
492,1482196087983964161,广州天河区,ETL开发工程师,50-100人,12000,15000,合资,3,3,上海华钦信息科技股份有限公司,"[""互联网""]"
493,1482196087983964160,广州天河区,数据分析师,50-100人,13000,19000,合资,3,3,上海华钦信息科技股份有限公司,"[""互联网""]"
494,1482196087979769860,广州天河区,数据分析师,50-100人,10000,25000,合资,3,0,上海华钦信息科技股份有限公司,"[""互联网""]"
495,1482196087979769859,广州海珠区,Data Analyst/Business Analyst,50-100人,9000,15000,合资,3,1,上海华钦信息科技股份有限公司,"[""互联网""]"
496,1482196087979769858,广州天河区,数据分析师,50-100人,13000,19000,合资,3,3,上海华钦信息科技股份有限公司,"[""互联网""]"
497,1482196087979769857,广州,Data Analyst,50-100人,13000,18000,合资,3,3,上海华钦信息科技股份有限公司,"[""互联网""]"
498,1482196087979769856,广州天河区,数据分析师,50-100人,10000,25000,合资,3,0,上海华钦信息科技股份有限公司,"[""互联网""]"
499,1482195868793831439,广州,数据分析专员,50-100人,10000,20000,合资,3,3,大圣科技股份有限公司,"[""互联网""]"
500,1482195868793831438,广州,数据分析师,50-100人,10000,20000,合资,3,3,大圣科技股份有限公司,"[""互联网""]"
501,1482195868793831437,广州,数据分析师,50-100人,10000,20000,合资,3,3,大圣科技股份有限公司,"[""互联网""]"
502,1482195868793831436,广州番禺区,大数据产品经理（智能网联合资公司）,50-100人,12000,20000,合资,3,3,大圣科技股份有限公司,"[""互联网""]"
503,1482195868793831435,广州,大数据产品经理（数字营销方向）,50-100人,10000,20000,合资,3,3,大圣科技股份有限公司,"[""互联网""]"
504,1482195868793831434,广州,数据分析师,50-100人,10000,20000,合资,3,0,东方微银科技股份有限公司,"[""互联网""]"
505,1482195868793831433,广州,数据分析师,50-100人,10000,20000,合资,3,0,东方微银科技股份有限公司,"[""互联网""]"
506,1482195868793831432,广州花都区,数据分析师,50-100人,14000,17000,合资,3,1,东风日产数据服务有限公司,"[""互联网""]"
507,1482195868793831431,广州花都区,数据分析师,50-100人,14000,17000,合资,3,1,东风日产数据服务有限公司,"[""互联网""]"
508,1482195868793831430,广州天河区,数据分析师-广州,50-100人,11000,18000,合资,3,1,二十六度数科,"[""互联网""]"
509,1482195868793831429,广州天河区,数据分析师-广州,50-100人,11000,18000,合资,3,1,二十六度数科,"[""互联网""]"
510,1482195868793831428,广州,ETL开发工程师,50-100人,11000,22000,合资,3,5,云米全屋互联网家电,"[""互联网""]"
511,1482195868793831427,广州海珠区,NLP算法专家/工程师,50-100人,25000,50000,合资,3,1,云米全屋互联网家电,"[""互联网""]"
512,1482195868793831426,广州,大数据算法产品经理,50-100人,15000,24000,合资,3,5,云米全屋互联网家电,"[""互联网""]"
513,1482195868793831425,广州,高级数据产品经理,50-100人,15000,20000,合资,3,5,云米全屋互联网家电,"[""互联网""]"
514,1482195868793831424,广州海珠区,数据分析师,50-100人,15000,25000,合资,2,3,福建新时颖电子商务有限公司,"[""互联网""]"
515,1482195868789637128,广州,数据分析师(J10380),50-100人,10000,20000,合资,2,3,福建新时颖电子商务有限公司,"[""互联网""]"
516,1482195868789637127,广州海珠区,数据分析师（独立站）,50-100人,15000,29000,合资,2,1,福建新时颖电子商务有限公司,"[""互联网""]"
517,1482195868789637126,广州海珠区,数据分析师,50-100人,15000,25000,合资,2,3,福建新时颖电子商务有限公司,"[""互联网""]"
518,1482195868789637125,广州,数据分析师(J10380),50-100人,10000,20000,合资,2,3,福建新时颖电子商务有限公司,"[""互联网""]"
519,1482195868789637124,广州,数据分析师,50-100人,15000,30000,合资,3,3,福州龙腾简合网络技术有限公司,"[""互联网""]"
520,1482195868789637123,广州,数据分析师,50-100人,15000,30000,合资,3,3,福州龙腾简合网络技术有限公司,"[""互联网""]"
521,1482195868789637122,广州,数据分析工程师（NLP方向）(J11892),50-100人,10000,20000,合资,3,3,高新兴科技集团股份有限公司,"[""互联网""]"
522,1482195868789637121,广州天河区,业务数据分析师,50-100人,18000,28000,合资,2,5,高知特信息技术(上海),"[""互联网""]"
523,1482195868789637120,广州天河区,业务数据分析师,50-100人,18000,28000,合资,2,5,高知特信息技术(上海),"[""互联网""]"
524,1482195642796343314,广州,数据分析专员,50-100人,10000,20000,合资,3,3,大圣科技股份有限公司,"[""互联网""]"
525,1482195642796343313,广州,数据分析师,50-100人,10000,20000,合资,3,3,大圣科技股份有限公司,"[""互联网""]"
526,1482195642796343312,广州,数据分析师,50-100人,10000,20000,合资,3,3,大圣科技股份有限公司,"[""互联网""]"
527,1482195642796343311,广州番禺区,大数据产品经理（智能网联合资公司）,50-100人,12000,20000,合资,3,3,大圣科技股份有限公司,"[""互联网""]"
528,1482195642796343310,广州,大数据产品经理（数字营销方向）,50-100人,10000,20000,合资,3,3,大圣科技股份有限公司,"[""互联网""]"
529,1482195642796343309,广州,数据分析师,50-100人,10000,20000,合资,3,0,东方微银科技股份有限公司,"[""互联网""]"
530,1482195642796343308,广州,数据分析师,50-100人,10000,20000,合资,3,0,东方微银科技股份有限公司,"[""互联网""]"
531,1482195642796343307,广州花都区,数据分析师,50-100人,14000,17000,合资,3,1,东风日产数据服务有限公司,"[""互联网""]"
532,1482195642796343306,广州花都区,数据分析师,50-100人,14000,17000,合资,3,1,东风日产数据服务有限公司,"[""互联网""]"
533,1482195642796343305,广州天河区,数据分析师-广州,50-100人,11000,18000,合资,3,1,二十六度数科,"[""互联网""]"
534,1482195642796343304,广州天河区,数据分析师-广州,50-100人,11000,18000,合资,3,1,二十六度数科,"[""互联网""]"
535,1482195642796343303,广州,ETL开发工程师,50-100人,11000,22000,合资,3,5,云米全屋互联网家电,"[""互联网""]"
536,1482195642796343302,广州海珠区,NLP算法专家/工程师,50-100人,25000,50000,合资,3,1,云米全屋互联网家电,"[""互联网""]"
537,1482195642796343301,广州,大数据算法产品经理,50-100人,15000,24000,合资,3,5,云米全屋互联网家电,"[""互联网""]"
538,1482195642796343300,广州,高级数据产品经理,50-100人,15000,20000,合资,3,5,云米全屋互联网家电,"[""互联网""]"
539,1482195642796343299,广州海珠区,数据分析师,50-100人,15000,25000,合资,2,3,福建新时颖电子商务有限公司,"[""互联网""]"
540,1482195642796343298,广州,数据分析师(J10380),50-100人,10000,20000,合资,2,3,福建新时颖电子商务有限公司,"[""互联网""]"
541,1482195642796343297,广州海珠区,数据分析师（独立站）,50-100人,15000,29000,合资,2,1,福建新时颖电子商务有限公司,"[""互联网""]"
542,1482195642796343296,广州海珠区,数据分析师,50-100人,15000,25000,合资,2,3,福建新时颖电子商务有限公司,"[""互联网""]"
543,1482195642792148997,广州,数据分析师(J10380),50-100人,10000,20000,合资,2,3,福建新时颖电子商务有限公司,"[""互联网""]"
544,1482195642792148996,广州,数据分析师,50-100人,15000,30000,合资,3,3,福州龙腾简合网络技术有限公司,"[""互联网""]"
545,1482195642792148995,广州,数据分析师,50-100人,15000,30000,合资,3,3,福州龙腾简合网络技术有限公司,"[""互联网""]"
546,1482195642792148994,广州,数据分析工程师（NLP方向）(J11892),50-100人,10000,20000,合资,3,3,高新兴科技集团股份有限公司,"[""互联网""]"
547,1482195642792148993,广州天河区,业务数据分析师,50-100人,18000,28000,合资,2,5,高知特信息技术(上海),"[""互联网""]"
548,1482195642792148992,广州天河区,业务数据分析师,50-100人,18000,28000,合资,2,5,高知特信息技术(上海),"[""互联网""]"
549,1482195512219271174,广州海珠区,财务数据分析师,50-100人,6000,12000,合资,2,3,爱富兰,"[""互联网""]"
550,1482195512219271173,广州海珠区,财务数据分析师,50-100人,6000,12000,合资,2,3,爱富兰,"[""互联网""]"
551,1482195512219271172,广州白云区,数据分析师,50-100人,7000,10000,合资,3,3,安华美博,"[""互联网""]"
552,1482195512219271171,广州白云区,数据分析师,50-100人,7000,10000,合资,3,3,安华美博,"[""互联网""]"
553,1482195512219271170,广州白云区,数据分析师,50-100人,7000,10000,合资,3,3,安华美博,"[""互联网""]"
554,1482195512219271169,广州番禺区,数据分析专员,50-100人,8000,15000,合资,3,1,奥园科技集团,"[""互联网""]"
555,1482195512219271168,广州番禺区,数据产品经理,50-100人,15000,30000,合资,3,5,奥园科技集团,"[""互联网""]"
556,1482195512215076890,广州,自然语言处理工程师,50-100人,28000,50000,合资,3,3,小包公,"[""互联网""]"
557,1482195512215076889,广州,数据产品经理,50-100人,20000,35000,合资,3,3,小包公,"[""互联网""]"
558,1482195512215076888,广州天河区,产品经理（数据方向）,50-100人,8000,12000,合资,3,3,广东德生科技股份有限公司,"[""互联网""]"
559,1482195512215076887,广州,高级数据产品经理,50-100人,20000,30000,合资,3,5,电声股份,"[""互联网""]"
560,1482195512215076886,广州天河区,数据产品经理,50-100人,20000,30000,合资,3,5,电声股份,"[""互联网""]"
561,1482195512215076885,广州白云区,数据分析员,50-100人,6000,10000,合资,2,3,广东歌蒂诗服饰有限公司,"[""互联网""]"
562,1482195512215076884,广州,数据分析专员,50-100人,8000,9000,合资,3,1,广信通信,"[""互联网""]"
563,1482195512215076883,广州,ETL开发工程师 (MJ001915),50-100人,18000,25000,合资,3,3,海大集团,"[""互联网""]"
564,1482195512215076882,广州番禺区,数据分析师（广州）,50-100人,12000,13000,合资,3,1,海大集团,"[""互联网""]"
565,1482195512215076881,广州,数据分析师 (MJ001550),50-100人,15000,25000,合资,3,0,海大集团,"[""互联网""]"
566,1482195512215076880,广州番禺区,数据分析师（广州）,50-100人,12000,13000,合资,3,1,海大集团,"[""互联网""]"
567,1482195512215076879,广州,数据分析师 (MJ001550),50-100人,15000,25000,合资,3,0,海大集团,"[""互联网""]"
568,1482195512215076878,广州,数据产品经理 (MJ000031),50-100人,16000,30000,合资,3,5,海大集团,"[""互联网""]"
569,1482195512215076877,广州番禺区,数据分析专员（2022届校招）,50-100人,6000,8000,合资,3,0,好太太集团,"[""互联网""]"
570,1482195512215076876,广州黄埔区,数据治理项目高级开发工程师,50-100人,10000,20000,合资,3,3,广东鸿数科技有限公司,"[""互联网""]"
571,1482195512215076875,广州越秀区,大数据平台产品经理,50-100人,10000,18000,合资,3,5,广东华讯工程有限公司,"[""互联网""]"
572,1482195512215076874,广州天河区,数据产品经理,50-100人,10000,18000,合资,3,1,广东康爱多数字健康科技有限公司,"[""互联网""]"
573,1482195512215076873,广州,算法工程师（推荐/NLP/机器学习）,50-100人,25000,50000,合资,3,0,豌豆素质教育,"[""互联网""]"
574,1482195512215076872,广州,数据中台产品经理,50-100人,15000,25000,合资,3,5,豌豆素质教育,"[""互联网""]"
575,1482195512215076871,广州,大数据应用产品经理,50-100人,15000,25000,合资,3,5,豌豆素质教育,"[""互联网""]"
576,1482195512215076870,广州,大数据应用产品经理（中高级）,50-100人,20000,30000,合资,3,5,豌豆素质教育,"[""互联网""]"
